category,image_name,count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,description_of_experiment.started,global_fixation.started,description_of_experiment.stopped,global_fixation.stopped,probe_routine.started,image_onset_time,probe.started,probe.stopped,probe_routine.stopped,postmask.started,postmask_1.started,postmask_1.stopped,postmask.stopped,jitter_delay.started,jitter1,delay_post_mask.started,delay_post_mask.stopped,jitter_delay.stopped,response_routine.started,discrim_resptime,response_window,response.started,tell_response.started,response_routine.stopped,correctAns,response.corr,response.keys,visibility.started,visible_resptime,visible.started,tell_visible.started,visibility.stopped,visible.keys,visible.corr,visible.rt,visible.duration,probe_Frames,post_trial_jitter.started,jitter2,post_fixation.started,post_fixation.stopped,post_trial_jitter.stopped,show_message.started,show_message.stopped,response.stopped,tell_response.stopped,visible.stopped,tell_visible.stopped,response.rt,response.duration,n_square,probeFrames,participant,session,image_size,premask_dur,postmask_dur,block,date,expName,psychopyVersion,frameRate,expStart,
Living_Things,processed\face\female_36_18.png,18,0,0,0,80,6.145919300000969,,0.019780300001002615,3.001695599999948,3.0351831000007223,6.145919300000969,6.034917299999506,6.03492389999883,6.145919300000969,6.206029900000431,6.18337320000137,6.1834060000001045,6.206029900000431,6.532606000000669,6.519316199999594,6.519395200000872,1.5,6.532606000000669,8.038654200001474,8.016951500001596,8.016990799998894,8.016995499998302,V_nV,8.038654200001474,8.038654200001474,9.53232779999962,1,0,None,9.54465540000092,9.54465799999889,9.548832600001333,9.548832600001333,11.033003699998517,3,0,1.4413383000028261,None,5,11.046614399998361,1.0,11.050977499999135,12.106343200000993,12.050808700001653,12.050866400000814,12.05224939999971,,,,,,,32,5,,001,256,20,20,1,2023-10-24_17h14.06.941,post-mask-only,2023.2.3,59.96285900547255,2023-10-24 17h16.41.597025 +0800,
Nonliving_Things,processed\house\House39_18.png,18,0,1,1,64,12.106343200000993,,,,,,12.05325670000093,12.053269399999408,12.106343200000993,12.132712899998296,12.117160900001181,12.117209299998649,12.132712899998296,12.46546269999817,12.449627800000599,12.449645100001362,1.0,12.46546269999817,13.465599700000894,13.449877499999275,13.449915400000464,13.449922899999365,V_nV,13.465599700000894,13.465599700000894,14.949404300001333,2,0,None,14.949817199998506,14.949836600000708,14.965571900000214,14.965571900000214,16.45008980000057,None,0,,,3,16.451252700000623,2.0,16.465563999998267,18.49355680000008,18.450041500000225,18.450076799999806,18.45089789999838,14.965571900000214,14.965571900000214,16.465563999998267,16.465563999998267,,,32,5,,001,256,20,20,1,2023-10-24_17h14.06.941,post-mask-only,2023.2.3,59.96285900547255,2023-10-24 17h16.41.597025 +0800,
Living_Things,processed\face\female_47_18.png,18,0,2,2,106,18.49355680000008,,,,,,18.451453099998616,18.4514565999998,18.49355680000008,18.515813300000445,18.501958199998626,18.501998700001423,18.515813300000445,18.84868869999991,18.833365700000286,18.833386599999358,1.0,18.84868869999991,19.849168900000222,19.833664800000406,19.83371690000058,19.83372589999999,nV_V,19.849168900000222,19.849168900000222,21.33294509999905,2,0,1,21.33444149999923,21.334451499998977,21.34880820000035,21.34880820000035,22.833139099999244,None,0,,,3,22.833870800001023,1.0,22.849019599998428,23.87549940000099,23.833827099999326,23.833904600000096,23.835258999999496,21.34880820000035,21.34880820000035,22.849019599998428,22.849019599998428,1.0558864999984507,None,32,5,,001,256,20,20,1,2023-10-24_17h14.06.941,post-mask-only,2023.2.3,59.96285900547255,2023-10-24 17h16.41.597025 +0800,
Nonliving_Things,processed\house\House56_18.png,18,0,3,3,41,23.87549940000099,,,,,,23.83631940000123,23.83633220000047,23.87549940000099,23.898929200000566,23.883437600001344,23.883466600000247,23.898929200000566,24.232545399998344,24.218917999998666,24.218965100000787,1.0,24.232545399998344,25.232193499999994,25.216031399999338,25.216053799998917,25.216052499999932,V_nV,25.232193499999994,25.232193499999994,26.716375799998787,2,0,1,26.71677329999875,26.716771499999595,26.732771999999386,26.732771999999386,28.216820199999347,None,0,,,3,28.217366100001527,1.5,28.23352159999922,29.755348999999114,29.73273590000099,29.73276590000023,29.73348199999964,26.732771999999386,26.732771999999386,,,0.5876804999970773,None,32,5,,001,256,20,20,1,2023-10-24_17h14.06.941,post-mask-only,2023.2.3,59.96285900547255,2023-10-24 17h16.41.597025 +0800,
Nonliving_Things,processed\house\House80_18.png,18,0,4,4,15,29.755348999999114,,,,,,29.7340621000003,29.734065900000132,29.755348999999114,29.79872510000132,29.782943700000033,29.782998800001224,29.79872510000132,30.13178120000157,30.11631649999981,30.11633939999956,3.0,30.13178120000157,33.13183930000014,33.11607129999902,33.11610070000097,33.11610219999784,nV_V,33.13183930000014,33.13183930000014,34.61601389999851,1,0,2,34.61686850000115,34.61687609999717,34.63198320000083,34.63198320000083,36.116686199999094,1,1,1.0836574000022665,None,3,36.118113799999264,1.5,36.13217530000111,37.67037569999957,37.617063300000154,37.6171213000016,37.618386300000566,34.63198320000083,34.63198320000083,36.13217530000111,36.13217530000111,0.39509569999790983,None,32,5,,001,256,20,20,1,2023-10-24_17h14.06.941,post-mask-only,2023.2.3,59.96285900547255,2023-10-24 17h16.41.597025 +0800,
Living_Things,processed\face\male_18_18.png,18,0,5,5,0,37.67037569999957,,,,,,37.61940010000035,37.61941239999942,37.67037569999957,37.7157186000004,37.699806500000705,37.69983919999868,37.7157186000004,38.04912930000137,38.03298580000046,38.0330040000008,1.0,38.04912930000137,39.04934570000114,39.03363890000037,39.03367799999978,39.03368279999995,nV_V,39.04934570000114,39.04934570000114,40.54830460000085,2,0,1,40.548736600001575,40.54873579999912,40.56486399999994,40.56486399999994,42.04829199999949,1,1,1.3315042000031099,None,4,42.048973599998135,1.0,42.06491929999902,43.08207119999861,43.04942590000064,43.04945900000166,43.0503592999994,,,,,0.25743340000190074,None,32,5,,001,256,20,20,1,2023-10-24_17h14.06.941,post-mask-only,2023.2.3,59.96285900547255,2023-10-24 17h16.41.597025 +0800,
Nonliving_Things,processed\house\House2_18.png,18,0,6,6,195,43.08207119999861,,,,,,43.050974900001165,43.050978600000235,43.08207119999861,43.14874369999961,43.132978900001035,43.13301109999884,43.14874369999961,43.481643999999505,43.46586849999949,43.46588580000025,3.0,43.481643999999505,46.48171860000002,46.46584179999991,46.465871000000334,46.465872099997796,V_nV,46.48171860000002,46.48171860000002,47.96607059999951,2,0,None,47.96667719999823,47.96668639999916,47.98186690000148,47.98186690000148,49.46612230000028,1,1,1.306321600000956,None,5,49.46743190000052,1.0,49.48163529999874,50.50912850000168,50.46658699999898,50.46664149999924,50.4682114999996,47.98186690000148,47.98186690000148,49.48163529999874,49.48163529999874,,,32,5,,001,256,20,20,1,2023-10-24_17h14.06.941,post-mask-only,2023.2.3,59.96285900547255,2023-10-24 17h16.41.597025 +0800,
Nonliving_Things,processed\house\House38_18.png,18,0,7,7,2,50.50912850000168,,,,,,50.46939930000008,50.469421599998896,50.50912850000168,50.61492590000125,50.598935599999095,50.59896509999817,50.61492590000125,50.948289700001624,50.93330950000018,50.93334319999849,1.0,50.948289700001624,51.948532800000976,51.93287530000089,51.93292870000005,51.9329433999992,nV_V,51.948532800000976,51.948532800000976,53.432704800001375,1,0,2,53.433783600001334,53.43380640000032,53.44826059999832,53.44826059999832,54.93248319999839,None,0,,,8,54.93315079999957,1.0,54.94848809999894,55.97448399999848,55.932635799999844,55.93267919999926,55.9337841000015,53.44826059999832,53.44826059999832,54.94848809999894,54.94848809999894,1.2257134999999835,None,32,5,,001,256,20,20,1,2023-10-24_17h14.06.941,post-mask-only,2023.2.3,59.96285900547255,2023-10-24 17h16.41.597025 +0800,
Living_Things,processed\face\male_43_18.png,18,0,8,8,62,55.97448399999848,,,,,,55.93489110000155,55.934908299997915,55.97448399999848,56.08191539999825,56.06597630000033,56.06600819999949,56.08191539999825,56.41478920000009,56.39902319999965,56.399041799999395,1.0,56.41478920000009,57.414925299999595,57.3990589999994,57.39907640000092,57.39907259999745,nV_V,57.414925299999595,57.414925299999595,58.899135299998306,2,1,2,58.89974369999982,58.89974629999779,58.91516340000089,58.91516340000089,60.39957839999988,None,0,,,8,60.400166499999614,1.0,60.416221600000426,61.43276880000121,61.415076000001136,61.41509329999826,61.41547899999932,58.91516340000089,58.91516340000089,,,0.8633139999983541,None,32,5,,001,256,20,20,1,2023-10-24_17h14.06.941,post-mask-only,2023.2.3,59.96285900547255,2023-10-24 17h16.41.597025 +0800,
Living_Things,processed\face\male_66_18.png,18,0,9,9,145,61.43276880000121,,,,,,61.41578609999851,61.41578639999716,61.43276880000121,61.56461439999839,61.54843940000137,61.54845710000154,61.56461439999839,61.89782049999849,61.881952399999136,61.88196940000125,1.5,61.89782049999849,63.39792500000112,63.382110999998986,63.382138199998735,63.382137099997635,nV_V,63.39792500000112,63.39792500000112,64.88228009999875,2,0,None,64.88295830000061,64.88296679999985,64.89798259999952,64.89798259999952,66.38231689999884,None,0,,,8,66.38320419999945,1.0,66.39812750000056,67.42041260000042,67.38275359999898,67.38280269999814,67.38393630000064,64.89798259999952,64.89798259999952,66.39812750000056,66.39812750000056,,,32,5,,001,256,20,20,1,2023-10-24_17h14.06.941,post-mask-only,2023.2.3,59.96285900547255,2023-10-24 17h16.41.597025 +0800,
